,Year,State,Overall_Homeless,average_debt,population,total_poverty_rate,total_drug_rate
138,2016,Tennessee,0.0013198969160358228,1.45,6651277,0.0010001087009306633,0.0001763571115742135
139,2016,Texas,0.0008283279711617771,1.175,27914064,0.0009908983514546647,0.0001431894689358024
140,2016,Utah,0.0009220689163571478,1.66,3044241,0.0010107609745746149,0.00014650614061107513
141,2016,Virginia,0.0007446257869327203,1.95,8417651,0.0009697479736330242,0.0001676239606512553
142,2016,Vermont,0.0017890147765893722,1.55,624366,0.0009962105559879941,0.0003107151894882168
143,2016,Washington,0.002853028940839547,1.78,7299961,0.0009984984851288932,0.0002723302220381725
144,2016,Wisconsin,0.0009843866068011851,1.28,5775170,0.0009980658578015885,0.00019289475461328412
145,2016,West Virginia,0.0007569163435537959,1.36,1832435,0.000986665284171062,0.00016753663840736506
146,2016,Wyoming,0.0014643489969123936,1.55,585243,0.0009756631006265774,0.00017257788645058547
147,2015,Alaska,0.0026488631285294475,1.55,738430,0.0009520198258467289,0.0002627195536476037
148,2015,Alabama,0.0008177468787095995,1.45,4854803,0.0009928312230177002,0.00013224017534800073
149,2015,Arkansas,0.0008591376674143849,1.28,2979732,0.000990357522085879,0.00015135589375151858
150,2015,Arizona,0.0014483060409992375,1.78,6832810,0.0009846607764594653,0.00017284250549920164
151,2015,California,0.0029749413792245463,1.95,38904296,0.0010045163135711285,0.00022000141064112817
152,2015,Colorado,0.001824789414938009,1.78,5454328,0.0009937062824237927,0.0002817945675434261
153,2015,Connecticut,0.0011277500925858583,1.45,3588561,0.0009953850582447952,0.00021735731954953532
154,2015,Delaware,0.00101160747931406,1.55,942065,0.00101691496871235,0.0001889466225791214
155,2015,Florida,0.00177554789624529,1.78,20219111,0.0009926252445025896,0.00018339085234756364
156,2015,Georgia,0.0013541708708320335,1.55,10183353,0.0009918147784919171,0.00016458233353984684
157,2015,Iowa,0.0009866964116724169,1.175,3122541,0.0009927811996703966,0.000154361463948752
158,2015,Idaho,0.001189716156478537,1.95,1652495,0.0010027261807146165,0.0001609687170006566
159,2015,Illinois,0.0010246831449070867,1.28,12859585,0.0009860349303651712,0.0001728671648424113
160,2015,Indiana,0.0008867959516244716,1.28,6611442,0.0009834465764049659,0.00017636092096096434
161,2015,Kansas,0.0008891280052303264,1.175,2910717,0.0009787966332693973,0.000152539735054971
162,2015,Kentucky,0.0010245813733905968,1.28,4429126,0.0009855217485345868,0.00017339764097928123
163,2015,Louisiana,0.0008744379149080415,1.175,4666998,0.0009854300344675528,0.00016734526134358745
164,2015,Massachusetts,0.003109238653595948,1.36,6797484,0.0009969865320756915,0.00025980200909630683
165,2015,Maine,0.0017846690010819369,1.78,1329098,0.001008202555417283,0.0002452791291537569
166,2015,Michigan,0.001058535205103275,1.28,9934483,0.0009916973032215164,0.00020333217138727804
167,2015,Minnesota,0.0013760024157540424,1.36,5484002,0.000995258572115765,0.00018070744686088735
168,2015,Missouri,0.0010669237027750057,1.28,6075411,0.0009786992188676618,0.0001795763282517018
169,2015,Mississippi,0.0006631594682818819,1.45,2990231,0.0009855425885157366,0.00013410335188151015
170,2015,Montana,0.001656818501301509,1.78,1031495,0.0009869170475862703,0.0002423666619809112
171,2015,North Carolina,0.0010645380024624353,1.66,10037218,0.0009850339008278988,0.00016269448367067449
172,2015,North Dakota,0.0017272483015391702,0.7550000000000001,755537,0.001009877742585737,0.00015618030619281385
173,2015,Nebraska,0.0014502718995549294,1.175,1892059,0.0009819989757190446,0.00016384267086808603
174,2015,New Hampshire,0.0010803899871399947,1.66,1337480,0.0009667434279391093,0.00023626521518078775
175,2015,New Jersey,0.0011384041508348296,1.66,8870312,0.0010074053764963396,0.00016876520239648843
176,2015,New Mexico,0.0012578520059844858,1.66,2090071,0.0009741295869853226,0.00021338988005670622
177,2015,Nevada,0.0030479015217196536,1.78,2868531,0.0009984204458658456,0.00018162606574584692
178,2015,New York,0.004489421523919765,0.7550000000000001,19657321,0.0009996275687821346,0.00020872630609226965
179,2015,Ohio,0.0009621146905758448,1.175,11622315,0.0009843133661409109,0.00018903290781569764
180,2015,Oklahoma,0.0009658566972457357,1.175,3910518,0.000993985962984955,0.00015675672634673975
181,2015,Oregon,0.0032912434410291096,1.78,4018542,0.0010026024364060398,0.00028741767536584164
182,2015,Pennsylvania,0.0012057228559110757,1.28,12789838,0.0009820296394684592,0.0001823322547165961
183,2015,Rhode Island,0.0010512013594654486,1.55,1056886,0.0009878075781115465,0.00026682158719104995
184,2015,South Carolina,0.0010935444115060316,1.78,4896006,0.0009783484742461508,0.00016237725198866177
185,2015,South Dakota,0.0012121736871726048,1.28,854663,0.0009922039447127114,0.00017550777323927677
186,2015,Tennessee,0.0013832464489396627,1.36,6595354,0.001001462544694341,0.00017254570414264344
187,2015,Texas,0.0008620045971879603,0.7550000000000001,27468531,0.0009975051086641656,0.00014329124480664802
188,2015,Utah,0.0010138670195259057,1.66,2983626,0.0010068286038531638,0.00013037827127126522
189,2015,Virginia,0.0008367092717928346,1.95,8367303,0.000981917351385506,0.00016014718243142383
